Outcome,Model,Accuracy,Precision,Recall,Specificity,F1,AUC,Accuracy_ex,Precision_ex,Recall_ex,Specificity_ex,F1_ex,AUC_ex
Outcome_InhospitalMortality,logistic regression,0.74463783,0.913201066,0.75213026,0.71475243,0.824638133,0.733441345,0.737118524,0.906586488,0.747508897,0.696140351,0.819352705,0.721824624
Outcome_InhospitalMortality,SVM,0.74869063,0.91504886,0.755925735,0.719970602,0.827585658,0.737948169,0.717672108,0.89931886,0.727580071,0.678596491,0.804365022,0.703088281
Outcome_InhospitalMortality,Decision tree,0.72463783,0.861444154,0.781354165,0.498738073,0.819111194,0.640046119,0.672959546,0.836593627,0.733096085,0.435789474,0.781236728,0.58444278
Outcome_InhospitalMortality,knn,0.649712957,0.884918147,0.645965909,0.664473319,0.746419074,0.655219614,0.648261178,0.888533156,0.639323843,0.683508772,0.743581055,0.661416308
Outcome_InhospitalMortality,Random forest,0.820605462,0.874629357,0.905853546,0.48131805,0.889736443,0.693585798,0.779418027,0.862409485,0.860854093,0.458245614,0.861602135,0.659549853
Outcome_InhospitalMortality,XGboost,0.809623873,0.88080989,0.881348898,0.524005963,0.880942925,0.702677431,0.744215756,0.870084076,0.798932384,0.528421053,0.832715253,0.663676718
Outcome_InhospitalMortality,neural net,0.76516498,0.884165159,0.813580546,0.572120398,0.846861821,0.692850472,0.742654365,0.873727386,0.792882562,0.544561404,0.830561148,0.668721983
