Outcome,Model,Accuracy,Precision,Recall,Specificity,F1,AUC,Accuracy_ex,Precision_ex,Recall_ex,Specificity_ex,F1_ex,AUC_ex
Outcome_InhospitalMortality,logistic regression,0.744245587,0.914686876,0.750156493,0.720678474,0.8240896,0.735417484,0.736976579,0.906019112,0.747864769,0.694035088,0.819332807,0.720949928
Outcome_InhospitalMortality,SVM,0.748952923,0.916263632,0.755123477,0.724620174,0.827565348,0.739871826,0.722214336,0.900219273,0.733096085,0.679298246,0.808078902,0.706197166
Outcome_InhospitalMortality,Decision tree,0.719796868,0.856420223,0.780658934,0.477892205,0.816500936,0.629275569,0.687579844,0.843393887,0.747153025,0.452631579,0.792274049,0.599892302
Outcome_InhospitalMortality,knn,0.644484113,0.884074048,0.639338644,0.665392,0.741690593,0.652365322,0.649964514,0.890722961,0.639679715,0.690526316,0.744598613,0.665103016
Outcome_InhospitalMortality,Random forest,0.82335056,0.876728332,0.906844457,0.491003833,0.891305982,0.698924145,0.780553584,0.861589123,0.863701068,0.452631579,0.862606085,0.658166323
Outcome_InhospitalMortality,XGboost,0.80595904,0.883104682,0.873157673,0.538386825,0.877775664,0.705772249,0.73456352,0.872411435,0.781850534,0.548070175,0.824398357,0.664960355
Outcome_InhospitalMortality,neural net,0.767782523,0.881336078,0.820472496,0.557520517,0.849474885,0.688996507,0.736976579,0.870243899,0.78772242,0.536842105,0.826834214,0.662282263
