Outcome,Model,Accuracy,Precision,Recall,Specificity,F1,AUC,Accuracy_ex,Precision_ex,Recall_ex,Specificity_ex,F1_ex,AUC_ex
Outcome_InhospitalMortality,logistic regression,0.742937885,0.913282553,0.749686029,0.716076229,0.82325339,0.732881129,0.737970192,0.907405203,0.747864769,0.698947368,0.819904944,0.723406069
Outcome_InhospitalMortality,SVM,0.743201289,0.914754672,0.748607558,0.721844692,0.823139766,0.735226125,0.717955997,0.900229099,0.727046263,0.682105263,0.804409309,0.704575763
Outcome_InhospitalMortality,Decision tree,0.729731252,0.859616136,0.791135157,0.484721841,0.823941137,0.637928499,0.689992903,0.84266888,0.751601423,0.447017544,0.794431997,0.599309484
Outcome_InhospitalMortality,knn,0.640429261,0.881027956,0.636207562,0.657472149,0.738510644,0.646839856,0.650248403,0.891628064,0.639323843,0.693333333,0.744674159,0.666328588
Outcome_InhospitalMortality,Random forest,0.82478864,0.878411872,0.90666431,0.498878134,0.892092109,0.702771222,0.782682754,0.862981154,0.864946619,0.458245614,0.863936448,0.661596117
Outcome_InhospitalMortality,XGboost,0.807531002,0.884363919,0.873844229,0.544014578,0.878856035,0.708929403,0.731156849,0.869813019,0.779715302,0.539649123,0.822204,0.659682213
Outcome_InhospitalMortality,neural net,0.763991502,0.87919451,0.817203145,0.552319532,0.847011183,0.684761339,0.73669269,0.867905356,0.790213523,0.525614035,0.827225899,0.657913779
