Outcome,Model,Accuracy,Precision,Recall,Specificity,F1,AUC,Accuracy_ex,Precision_ex,Recall_ex,Specificity_ex,F1_ex,AUC_ex
Outcome_InhospitalMortality,logistic regression,0.744114356,0.913949724,0.750652875,0.717981118,0.824101278,0.734316997,0.738112136,0.90533163,0.750177936,0.690526316,0.820434045,0.720352126
Outcome_InhospitalMortality,SVM,0.753789354,0.915902804,0.762107758,0.72050699,0.831716859,0.741307374,0.721788502,0.900180213,0.732562278,0.679298246,0.807724445,0.705930262
Outcome_InhospitalMortality,Decision tree,0.720192103,0.852112753,0.786668658,0.455263029,0.817907577,0.620965843,0.690986515,0.836839004,0.760854093,0.415438596,0.796927711,0.588146345
Outcome_InhospitalMortality,knn,0.645398462,0.884849566,0.639929873,0.667038108,0.742371345,0.653483991,0.647835344,0.88992511,0.637366548,0.689122807,0.742674359,0.663244678
Outcome_InhospitalMortality,Random forest,0.823089037,0.875368327,0.908288829,0.483870547,0.891357957,0.696079688,0.781689141,0.861903527,0.864946619,0.453333333,0.863376308,0.659139976
Outcome_InhospitalMortality,XGboost,0.806354018,0.882619617,0.874510509,0.535631211,0.878240622,0.70507086,0.737544358,0.870361873,0.7886121,0.536140351,0.827210001,0.662376225
Outcome_InhospitalMortality,neural net,0.761243241,0.872227959,0.822190968,0.519214549,0.846052003,0.670702759,0.749609652,0.868272037,0.809252669,0.514385965,0.837511868,0.661819317
