Outcome,Model,Accuracy,Precision,Recall,Specificity,F1,AUC,Accuracy_ex,Precision_ex,Recall_ex,Specificity_ex,F1_ex,AUC_ex
Outcome_InhospitalMortality,logistic regression,0.74319881,0.912184235,0.751148549,0.711499248,0.823668373,0.731323898,0.738821859,0.905794376,0.750711744,0.691929825,0.820937559,0.721320784
Outcome_InhospitalMortality,SVM,0.749345251,0.915370876,0.756592379,0.720588755,0.828123664,0.738590567,0.718807665,0.899645689,0.728825623,0.679298246,0.805272891,0.704061934
Outcome_InhospitalMortality,Decision tree,0.715481348,0.850071737,0.782223281,0.449078162,0.814632543,0.615650722,0.670546487,0.841525716,0.723309609,0.46245614,0.777517159,0.592882874
Outcome_InhospitalMortality,knn,0.638732223,0.881024018,0.633805444,0.658685777,0.736862144,0.646245611,0.646415898,0.886962848,0.638078292,0.679298246,0.742188088,0.658688269
Outcome_InhospitalMortality,Random forest,0.822174004,0.876029767,0.906181488,0.48784155,0.890613483,0.697011519,0.782682754,0.863646894,0.86405694,0.461754386,0.863801774,0.662905663
Outcome_InhospitalMortality,XGboost,0.801908975,0.881045733,0.870279384,0.530566182,0.87522453,0.700422783,0.728034067,0.871279809,0.773487544,0.54877193,0.81935564,0.661129737
Outcome_InhospitalMortality,neural net,0.767778761,0.880744961,0.821106809,0.55538459,0.849487037,0.6882457,0.742228531,0.871148353,0.794661922,0.535438596,0.830973743,0.665050259
